"","year","state","party","digit","total_counties","expected","observed","expected_p","obs_proportion","sd_digit","abs_residual","cont_correction","apply_correction","z_stat","z_sig","follow_chisquare"
"78",2000,"WI","democrat",8,72,3.68298161621145,8,0.0511525224473813,0.111111111111111,0.0259636342620285,0.0599585886637298,0.00694444444444444,TRUE,2.04186146223828,TRUE,FALSE
"79",2000,"WI","republican",3,72,8.99558903579759,16,0.1249387366083,0.222222222222222,0.0389674095849877,0.0972834856139223,0.00694444444444444,TRUE,2.31832298147633,TRUE,TRUE
"80",2000,"WV","republican",3,55,6.8716305134565,13,0.1249387366083,0.236363636363636,0.0445847606869151,0.111424899755336,0.00909090909090909,TRUE,2.29526836272693,TRUE,TRUE
"81",2004,"AL","democrat",3,67,8.3708953527561,15,0.1249387366083,0.223880597014925,0.0403952577206008,0.0989418604066254,0.00746268656716418,TRUE,2.2646018122273,TRUE,TRUE
"82",2004,"AR","republican",2,75,13.2068444291761,21,0.176091259055681,0.28,0.0439822884867483,0.103908740944319,0.00666666666666667,TRUE,2.21093712090381,TRUE,TRUE
"83",2004,"CO","democrat",3,64,7.9960791429312,14,0.1249387366083,0.21875,0.0413311793442277,0.0938112633917001,0.0078125,TRUE,2.08072367535069,TRUE,TRUE
"84",2004,"GA","democrat",2,159,27.9985101898533,43,0.176091259055681,0.270440251572327,0.0302071597514684,0.0943489925166458,0.00314465408805031,TRUE,3.01929539814355,TRUE,FALSE
"85",2004,"GA","democrat",4,159,15.408692068281,6,0.0969100130080564,0.0377358490566038,0.0234612570219346,0.0591741639514526,0.00314465408805031,TRUE,2.38817169135561,TRUE,FALSE
"86",2004,"GA","republican",4,159,15.408692068281,24,0.0969100130080564,0.150943396226415,0.0234612570219346,0.0540333832183587,0.00314465408805031,TRUE,2.16905381850303,TRUE,TRUE
"87",2004,"IA","democrat",2,99,17.4330346465124,31,0.176091259055681,0.313131313131313,0.0382816684167021,0.137040054075632,0.00505050505050505,TRUE,3.44785257498183,TRUE,FALSE
"88",2004,"IA","democrat",8,99,5.06409972229075,0,0.0511525224473813,0,0.0221418616954382,0.0511525224473813,0.00505050505050505,TRUE,2.0821201952668,TRUE,FALSE
"89",2004,"IA","republican",1,99,29.8019695707341,11,0.301029995663981,0.111111111111111,0.0461016594471726,0.18991888455287,0.00505050505050505,TRUE,4.01001572870069,TRUE,FALSE
"90",2004,"IA","republican",4,99,9.59409128779759,22,0.0969100130080564,0.222222222222222,0.0297325557696322,0.125312209214166,0.00505050505050505,TRUE,4.04478192508737,TRUE,FALSE
"91",2004,"ID","democrat",2,44,7.74801539844997,1,0.176091259055681,0.0227272727272727,0.0574225026250531,0.153363986328409,0.0113636363636364,TRUE,2.47290423567882,TRUE,TRUE
"92",2004,"IL","republican",5,102,8.07648709685773,17,0.0791812460476248,0.166666666666667,0.0267361062181012,0.0874854206190418,0.00490196078431373,TRUE,3.08883646560382,TRUE,FALSE
"93",2004,"IN","democrat",2,92,16.2003958331227,24,0.176091259055681,0.260869565217391,0.039711339901062,0.0847783061617101,0.00543478260869565,TRUE,1.99800670918416,TRUE,FALSE
"94",2004,"IN","democrat",3,92,11.4943637679636,21,0.1249387366083,0.228260869565217,0.0344725865729981,0.103322132956917,0.00543478260869565,TRUE,2.83957080333785,TRUE,FALSE
"95",2004,"KS","democrat",1,105,31.608149544718,21,0.301029995663981,0.2,0.0447650945411845,0.101029995663981,0.00476190476190476,TRUE,2.15051686785802,TRUE,TRUE
"96",2004,"KY","democrat",1,120,36.1235994796777,49,0.301029995663981,0.408333333333333,0.0418739116649142,0.107303337669352,0.00416666666666667,TRUE,2.46302929203299,TRUE,TRUE
"97",2004,"KY","republican",4,120,11.6292015609668,20,0.0969100130080564,0.166666666666667,0.0270059349012451,0.0697566536586102,0.00416666666666667,TRUE,2.42872491664488,TRUE,TRUE
"98",2004,"LA","republican",5,64,5.06759974704799,11,0.0791812460476248,0.171875,0.0337526795977858,0.0926937539523752,0.0078125,TRUE,2.5148004532933,TRUE,TRUE
"99",2004,"MI","democrat",6,83,5.5565835393409,13,0.0669467896306132,0.156626506024096,0.0274333621947885,0.0896797163934832,0.00602409638554217,TRUE,3.04941185896029,TRUE,FALSE
