year,state_po,party,candidatevotes
2000,CA,democrat,437666
2000,CA,republican,475736
2000,CA,democrat,241578
2000,CA,republican,51496
2000,CA,democrat,79776
2000,CA,republican,81773
2000,CA,democrat,44526
2000,CA,republican,56859
2000,CA,democrat,166757
2000,CA,republican,80296
2000,CA,democrat,73411
2000,CA,republican,71493
2000,CA,democrat,332490
2000,CA,republican,188750
2000,CA,democrat,66618
2000,CA,republican,29627
2000,CA,democrat,20127
2000,CA,republican,43278
2000,CA,democrat,540
2000,CA,republican,1172
2000,CA,democrat,6323
2000,CA,republican,12198
2000,CA,democrat,75116
2000,CA,republican,51604
2000,CA,democrat,117295
2000,CA,republican,63529
2000,CA,democrat,56448
2000,CA,republican,67188
2000,CA,democrat,8416
2000,CA,republican,17350
2000,CA,democrat,6507
2000,CA,republican,13270
2000,CA,democrat,1932
2000,CA,republican,3340
2000,CA,democrat,33006
2000,CA,republican,54070
2000,CA,democrat,9359
2000,CA,republican,13172
2000,CA,democrat,133258
2000,CA,republican,136173
2000,CA,democrat,33747
2000,CA,republican,23057
2000,CA,democrat,5546
2000,CA,republican,9838
2000,CO,democrat,54132
2000,CO,republican,47561
2000,CO,democrat,2455
2000,CO,republican,2857
2000,CO,democrat,82614
2000,CO,republican,97768
2000,CO,democrat,1432
2000,CO,republican,2988
2000,CO,democrat,531
2000,CO,republican,1663
2000,CO,democrat,783
2000,CO,republican,1096
2000,CO,democrat,69983
2000,CO,republican,50873
2000,CO,democrat,2768
2000,CO,republican,4300
2000,CO,democrat,209
2000,CO,republican,957
2000,CO,democrat,2188
2000,CO,republican,2247
2000,CO,democrat,1749
2000,CO,republican,1772
2000,CO,democrat,1054
2000,CO,republican,504
2000,CO,democrat,511
2000,CO,republican,855
2000,CO,democrat,507
2000,CO,republican,1451
2000,CO,democrat,3264
2000,CO,republican,8372
2000,CO,democrat,122693
2000,CO,republican,61224
2000,CO,democrat,293
2000,CO,republican,741
2000,CO,democrat,27076
2000,CO,republican,56007
2000,CO,democrat,6772
2000,CO,republican,7165
2000,CO,democrat,2326
2000,CO,republican,6151
2000,CO,democrat,61799
2000,CO,republican,128294
2000,CO,democrat,5293
2000,CO,republican,9914
2000,CO,democrat,6087
2000,CO,republican,9103
2000,CO,democrat,1099
2000,CO,republican,1006
2000,CO,democrat,2308
2000,CO,republican,3570
2000,CO,democrat,3059
2000,CO,republican,3128
2000,CO,democrat,188
2000,CO,republican,316
2000,CO,democrat,1495
2000,CO,republican,1466
2000,CO,democrat,173
2000,CO,republican,682
2000,CO,democrat,100970
2000,CO,republican,120138
2000,CO,democrat,211
2000,CO,republican,728
2000,CO,democrat,809
2000,CO,republican,2542
2000,CO,democrat,1296
2000,CO,republican,1056
2000,CO,democrat,7864
2000,CO,republican,9993
2000,CO,democrat,46055
2000,CO,republican,62429
2000,CO,democrat,3243
2000,CO,republican,2569
2000,CO,democrat,510
2000,CO,republican,1630
2000,CO,democrat,2296
2000,CO,republican,5531
2000,CO,democrat,15465
2000,CO,republican,32396
2000,CO,democrat,168
2000,CO,republican,294
2000,CO,democrat,1223
2000,CO,republican,3840
2000,CO,democrat,2556
2000,CO,republican,6158
2000,CO,democrat,4041
2000,CO,republican,9266
2000,CO,democrat,2885
2000,CO,republican,5722
2000,CO,democrat,2963
2000,CO,republican,4082
2000,CO,democrat,705
2000,CO,republican,1279
2000,CO,democrat,2393
2000,CO,republican,3677
2000,CO,democrat,564
2000,CO,republican,1573
2000,CO,democrat,4137
2000,CO,republican,2565
2000,CO,democrat,1361
2000,CO,republican,3026
2000,CO,democrat,28888
2000,CO,republican,22827
2000,CO,democrat,543
2000,CO,republican,2185
2000,CO,democrat,1707
2000,CO,republican,3111
2000,CO,democrat,4208
2000,CO,republican,4472
